# Pakistan Customs Tariff,2025-26,generated 2026-08-31,7594 codes,source: FBR published tariff (no token required)
Code,Description
0210.9300,Of reptiles (including snakes and turtles)
0210.9900,Other
0301.1100,Freshwater
0301.1900,Other - Other live fish
0301.9100,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster )"
0301.9200,Eels (Anguilla spp .)
0301.9300,"Carp (Crprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp.,Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni,"
0301.9400,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
0301.9500,Southern bluefin tunas (Thunnus maccoyii )
0301.9900,Other
0302.1100,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus, aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster )"
0302.1300,"Pacific salmon (Oncorhynchus nerka,Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus )"
0302.1400,Atlantic salmon (Salmo salar ) and Danube salmon (Hucho hucho )
0302.1900,"Other - Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302.91 to 0302.99"
0302.2100,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis )"
0302.2200,Plaice (Pleuronectes platessa )
0302.2300,Sole (Solea spp. )
0302.2400,Turbots (Psetta maxima )
0302.2900,"Other - Tunas (of the genus Thunnus ), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis ), excluding edible fish offal of subheadings 0302.91 to 0302.99"
0302.3100,Albacore or longfinned tunas (Thunnus alalunga )
0302.3200,Yellowfin tunas (Thunnas albacares )
0302.3300,Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis )
0302.3400,Bigeye tunas(Thunnus obesus )
0302.3500,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
0302.3600,Southern bluefin tunas (Thunnus maccoyii )
0302.3900,"Other - Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.) , sardines (Sardina pilchardus, Sardinops spp.) , sardinella (Sardinella spp.) , brisling or sprats"
0302.4100,"Herrings (Clupea harengus, Clupea pallasii)"
0302.4200,Anchovies (Engraulis spp. )
0302.4300,"Sardines (Sardina pilchardus, Sardinops spp .), sardinella (sardinella spp .), brisling or sprats (Sprattus Sprattus )"
0302.4400,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus )"
0302.4500,Jack and horse mackerel (Trachurus spp .)
0302.4600,Cobia (Rachycentron canadum )
0302.4700,Swordfish (Xiphias gladius )
0302.4900,"Other - Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of"
0302.5100,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus )"
0302.5200,Haddock (Melanogrammus aeglefinus)
0302.5300,Coalfish (Pollachius virens )
0302.5400,"Hake (Merluccius spp., Urophycis spp.)"
0302.5500,Alaska Pollock (Theragra chalcogramma)
0302.5600,"Blue whitings (Micromesistius poutassou, Micromesistius australis)"
0302.5900,"Other - Tilapias (Oreochromis spp. ), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp. ), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,"
0302.7100,Tilapias (Oreochromis spp .)
0302.7200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp. )"
0302.7300,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus , Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni,"
0302.7400,Eels (Anguilla spp. )
0302.7900,"Other - Other fish, excluding edible fish offal of subheading 0302.91 to 0302.99"
0302.8100,Dogfish and other sharks
0302.8200,Rays and skates (Rajidae)
0302.8300,Toothfish (Dissostichus spp. )
0302.8400,Seabass (Dicentrarchus spp.)
0302.8500,Seabream (Sparidae)
0302.8900,"Other - Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal"
0302.9100,"Livers, roes and milt"
0302.9200,Shark fins
0302.9900,Other
0303.1100,Sockeye salmon (red salmon) (Oncorhynchus nerka )
0303.1200,"Other Pacific salmon (Oncorhynchus gorbusha, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus ),"
0303.1300,Atlantic salmon (Salmo salar ) and Danube salmon(Hucho hucho )
0303.1400,"Trout (Salmo trutta, Oncorhynchus mykiss,Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster )"
0303.1900,"Other - Tilapias (Oreochromis spp. ), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp. ), carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus,"
0303.2300,Tilapias (Oreochromis spp. )
0303.2400,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0303.2500,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama"
0303.2600,Eels (Anguilla spp. )
0303.2900,"Other - Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheading 0303.91 to 0303.99"
0303.3100,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis )"
0303.3200,Plaice (Pleuronectes platessa )
0303.3300,Sole (Solea spp. )
0303.3400,Turbots (Psetta maxima )
0303.3900,"Other - Tunas (of the genus Thunnus ), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis ), excluding edible fish offal of subheadings 0303.91 to 0303.99"
0303.4100,Albacore or longfinned tunas (Thunnus alalunga )
0303.4200,Yellowfin tunas (Thunnus albacares )
0303.4300,Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis )
0303.4400,Bigeye tunas (Thunnus obesus )
0303.4500,"Atlantic and pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis )"
0303.4600,Southern bluefin tunas (Thunnus maccoyii )
0303.4900,"Other - Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.) , sardines (Sardina pilchardus, Sardinops spp.) , sardinella (Sardinella spp.) , brisling or sprats"
0303.5100,"Herrings (Clupea harengus, Clupea pallasii)"
0303.5300,"Sardines (Sardina pilchardus, Sardinops spp. ), sardinella (Sardinella spp .), brisling or sprats (Sprattus sprattus )"
0303.5400,"Mackerel (Scomber scombrus Scomber australasicus, Scomber japonicus )"
0303.5500,Jack and horse mackerel (Trachurus spp. )
0303.5600,Cobia (Rachycentron canadum )
0303.5700,Swordfish (Xiphias gladius)
0303.5900,"Other - Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of"
0303.6300,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus )"
0303.6400,Haddock (Melanogrammus aeglefinus)
0303.6500,Coalfish (Pollachius virens )
0303.6600,"Hake (Merluccius spp., Urophycis spp. )"
0303.6700,Alaska Pollock (Theragra chalcogramma )
0303.6800,"Blue whitings (Micromesistius poutassou, Micromesistius australis )"
0303.6900,"Other - Other fish, excluding edible fish offal of subheading 0303.91 to 0303.99"
0303.8100,Dogfish and other sharks
0303.8200,Rays and skates (Rajidae )
0303.8300,Toothfish (Dissostichus spp. )
0303.8400,"Seabass (Dicentrarchus labrax, Dicentrarchus punctatus )"
0303.8900,"Other - Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal"
0303.9100,"Livers, roes and milt"
0303.9200,Shark fins
0303.9900,Other
0304.3100,Tilapias (Oreochromis spp .)
0304.3200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp .)"
0304.3300,Nile perch (Lates niloticus )
0304.3900,Other - Fresh or chilled fillets of other fish
0304.4100,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) , Atlantic salmon"
0304.4200,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster )"
0304.4300,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae )"
0304.4400,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Moridae and Muraenolepididae"
0304.4500,Swordfish (Xiphias gladius )
0304.4600,Toothfish (Dissostichus spp. )
0304.4700,Dogfish and other sharks
0304.4800,Rays and skates (Rajidae )
0304.4900,"Other - Other, fresh or chilled"
0304.5100,"Tilapias (Oreochromis spp .), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp. ), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp.,"
0304.5200,Salmonidae
0304.5300,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, elanonidae, Merlucciidae, Moridae and Muraenolepididae"
0304.5400,Swordfish (Xiphias gladius )
0304.5500,Toothfish (Dissostichus spp. )
0304.5600,Dogfish and other sharks
0304.5700,Rays and skates (Rajidae )
0304.5900,"Other - Frozen fillets of tilapias (Oreochromis spp. ), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp. ), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon"
0304.6100,Tilapias (Oreochromis spp .)
0304.6200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp .)"
0304.6300,Nile perch (Lates niloticus )
0304.6900,"Other - Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
0304.7100,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0304.7200,Haddock (Melanogrammus aeglefinus)
0304.7300,Coalfish (Pollachius virens )
0304.7400,"Hake (Merluccius spp., Urophycis spp.)"
0304.7500,Alaska Pollock (Theragra chalcogramma )
0304.7900,Other - Frozen fillets of other fish
0304.8100,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) , Atlantic salmon"
0304.8200,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster )"
0304.8300,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae )"
0304.8400,Swordfish (Xiphias gladius )
0304.8500,Toothfish (Dissostichus spp. )
0304.8600,"Herrings (Clupea harengus, Clupea pallasii)"
0304.8700,"Tunas (of the genus Thunnus ), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis )"
0304.8800,"Dogfish, other sharks, rays and skates (Rajidae )"
0304.8900,"Other - Other, frozen"
0304.9100,Swordfish (Xiphias gladius )
0304.9200,Toothfish (Dissostichus spp. )
0304.9300,"Tilapias (Oreochromis spp .), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp. ), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp.,"
0304.9400,Alaska Pollock (Theragra chalcogramma)
0304.9500,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollock (Theragra chalcogramma)"
0304.9600,Dogfish and other sharks
0304.9700,Rays and skates (Rajidae )
0304.9900,Other
0305.2000,"Livers, roes and milt of fish, dried, smoked, salted or in brine"
0305.3100,"Tilapias (Oreochromis spp .), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp. ), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp.,"
0305.3200,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae,Merlucciidae, Moridae and Muraenolepididae"
0305.3900,"Other - Smoked fish, including fillets, other than edible fish offal"
0305.4100,"Pacific salmon (Oncorhynchus nerka,Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus ), Atlantic salmon"
0305.4200,"Herrings (Clupea harengus, Clupea pallasii)"
0305.4300,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster )"
0305.4400,"Tilapias (Oreochromis spp .), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp. ), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon"
0305.4900,"Other - Dried fish, other than edible fish offal, whether or not salted but not smoked"
0305.5100,"Cod (Gadus morhua, Gadus ogac,Gadus macrocephalus )"
0305.5200,"Tilapias (Oreochromis spp.) , catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.) , carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon"
0305.5300,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0305.5400,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus,"
0305.5900,"Other - Fish, salted but not dried or smoked and fish in brine, other than edible fish offal"
0305.6100,"Herrings (Clupea harengus,Clupea pallasii)"
0305.6200,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus )"
0305.6300,Anchovies (Engraulis spp. )
0305.6400,"Tilapias (Oreochromis spp .), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp. ), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon"
0305.6900,"Other - Fish fins, heads, fails, maws and other edible fish offal"
0305.7100,Shark fins
0305.7200,"Fish heads, tails and maws"
0305.7900,Other
0306.1100,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp .)"
0306.1200,Lobsters (Homarus spp. )
0306.1400,Crabs
0306.1500,Norway lobsters (Nephrops norvegicus )
0306.1600,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon )"
0306.1700,Other shrimps and prawns
0306.1900,"Other - Live, fresh or chilled"
0306.3100,"Rock lobster and other sea crawfish (Palinurus spp.,Panulirus spp., Jasus spp. )"
0306.3200,Lobsters (Homarus spp. )
0306.3300,Crabs
0306.3400,Norway lobsters (Nephrops norvegicus )
0306.3500,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon )"
0306.3600,Other shrimps and prawns
0306.3900,Other - Other
0306.9100,"Rock lobster and other sea crawfish (Palinurus spp.,Panulirus spp., Jasus spp. )"
0306.9200,Lobsters (Homarus spp. )
0306.9300,Crabs
0306.9400,Norway lobsters (Nephrops norvegicus )
0306.9500,Shrimps and prawns
0306.9900,Other
0307.1100,"Live, fresh or chilled"
0307.1200,Frozen
0307.1900,Other - Scallops and other molluscs of the family Pectinidae
0307.2100,"Live, fresh or chilled"
0307.2200,Frozen
0307.2900,"Other - Mussels (Mytilus spp., Perna spp .)"
0307.3100,"Live, fresh or chilled"
0307.3200,Frozen
0307.3900,Other - Cuttle fish and squid
0307.4200,"Live, fresh or chilled"
0307.4300,Frozen
0307.4900,Other - Octopus (Octopus spp .)
0307.5100,"Live, fresh or chilled"
0307.5200,Frozen
0307.5900,Other
0307.6000,"Snails, other than sea snails - Clams, cockles and arkshells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae,"
0307.7100,"Live, fresh or chilled"
0307.7200,Frozen
0307.7900,Other - Abalone (Haliotis spp. ) and stromboid conchs (Strombus spp. )
0307.8100,"Live, fresh or chilled abalone (Haliotis spp .)"
0307.8200,"Live, fresh or chilled stromboid conchs (Strombus spp. )"
0307.8300,Frozen abalone(Haliotis spp. )
0307.8400,Frozen stromboid conchs (Strombus spp. )
0307.8700,Other abalone(Haliotis spp. )
0307.8800,Other stromboid conchs (Strombus spp. ) - Other
0307.9100,"Live, fresh or chilled"
0307.9200,Frozen
0307.9900,Other
0308.1100,"Live, fresh or chilled"
0308.1200,Frozen
0308.1900,"Other - Sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus )"
0308.2100,"Live, fresh or chilled"
0308.2200,Frozen
0308.2900,Other
0308.3000,Jellyfish (Rhopilema spp. )
0308.9000,Other
0309.1000,Of fish
0309.9000,Other
0401.1000,"Of a fat content, by weight, not exceeding 1 %"
0401.2000,"Of a fat content, by weight, exceeding 1 % but not exceeding 6 %"
0401.4000,"Of a fat content, by weight, exceeding 6 % but not exceeding 10%"
0401.5000,"Of a fat content, by weight, exceeding 10 %"
0402.1000,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %"
0402.2100,Not containing added sugar or other sweetening matter
0402.2900,Other - Other
0402.9100,Not containing added sugar or other sweetening matter
0402.9900,Other
0403.2000,Yogurt
0403.9000,Other
0404.1010,Whey powder
0404.1090,Other
0404.9000,Other
0405.1000,Butter
0405.2000,Dairy spreads
0405.9000,Other
0406.1010,Cheese
0406.1020,Curd
0406.1090,Other
0406.2000,"Grated or powdered cheese, of all kinds"
0406.3000,"Processed cheese, not grated or powdered"
0406.4000,Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti
0406.9000,Other cheese
0407.1100,Of fowls of the species Gallus domesticus (chicken)
0407.1900,Other - Other fresh eggs
0407.2100,Of fowls of the species Gallus domesticus (chicken)
0407.2900,Other
0407.9000,Others
0408.1100,Dried
0408.1900,Other - Other
0408.9100,Dried
0408.9900,Other
0409.0000,Natural honey
0410.1000,Insects
0410.9000,Other
0501.0000,"Human hair, unworked, whether or not washed or scoured; waste of human hair"
0502.1000,"Pigs', hogs' or boars bristles and hair and waste thereof"
0502.9000,Other
0504.0000,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked"
0505.1000,Feathers of a kind used for stuffing; down
0505.9000,Other
0506.1000,Ossein and bones treated with acid - Other
0506.9010,Bones(powder)
0506.9020,Bones (waste)
0506.9090,Other
0507.1000,Ivory; ivory powder and waste - Other
0507.9010,Horns
0507.9090,Other
0508.0010,Shells
0508.0090,Other
0510.0000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise"
0511.1000,"Bovine semen - Other: - - Products of fish or crustaceans, moluscs or other aquatic invertebrates; dead animals of Chapter 3"
0511.9110,Fish eggs
0511.9190,Other - - Other
0511.9910,Silk worm eggs
0511.9920,"Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material"
0511.9990,Other
0601.1010,Bulbs
0601.1090,Other
0601.2000,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots"
0602.1000,Unrooted cuttings and slips
0602.2000,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruits or nuts"
0602.3000,"Rhododendrons and azaleas, grafted or not"
0602.4000,"Roses, grafted or not - Other"
0602.9010,Mushroom spawn
0602.9090,Other
0603.1100,Roses
0603.1200,Carnations
0603.1300,Orchids
0603.1400,Chrysanthemums
0603.1500,Lilies (Lilium app.)
0603.1900,Other
0603.9000,Other
0604.2000,Fresh
0604.9000,Other
0701.1000,Seed
0701.9000,Other
0702.0000,"Tomatoes, fresh or chilled"
0703.1000,Onions and shallots
0703.2000,Garlic
0703.9000,Leeks and other alliaceous vegetables
0704.1000,Cauliflowers and broccoli
0704.2000,Brussels sprouts
0704.9000,Other
0705.1100,Cabbage lettuce (head lettuce)
0705.1900,Other - Chicory
0705.2100,Witloof chicory (Cichorium intybus var.foliosum )
0705.2900,Other
0706.1000,Carrots and turnips
0706.9000,Other
0707.0000,Cucumbers and gherkins fresh or chilled
0708.1000,Peas (Pisum sativum )
0708.2000,"Beans (Vigna spp., Phaseolus spp. )"
0708.9000,Other leguminous vegetables
0709.2000,Asparagus
0709.3000,Aubergines (egg-plants)
0709.4000,Celery other than celeriac - Mushrooms and truffles
0709.5100,Mushrooms of the genus Agaricus
0709.5200,Mushrooms of the genus Boletus
0709.5300,Mushrooms of the genus Cantharellus
0709.5400,Shiitake (Lentinus edodes )
0709.5500,"Matsutake (Tricholoma Matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum)"
0709.5600,Truffles (Tuber spp. )
0709.5900,Other
0709.6000,Fruits of the genus Capsicum or of the genus Pimenta
0709.7000,"Spinach, New Zealand spinach and orache spinach (garden spinach)"
0709.9100,Globe artichokes
0709.9200,Olives
0709.9300,"Pumpkins, squash and gourds (Cucurbita spp.)"
0709.9900,Other
0710.1000,"Potatoes - Leguminous vegetables, shelled or unshelled"
0710.2100,Peas (Pisum sativum )
0710.2200,"Beans (Vigna spp., Phaseolus spp. )"
0710.2900,Other
0710.3000,"Spinach, New Zealand spinach and orache spinach (garden spinach)"
0710.4000,Sweet corn
0710.8000,Other vegetables
0710.9000,Mixtures of vegetables
0711.2000,Olives
0711.4000,Cucumbers and gherkins - Mushrooms and truffles
0711.5100,Mushrooms of the genus Agaricus
0711.5900,Other
0711.9000,Other vegetables; mixtures of vegetables
0712.2000,"Onions - Mushrooms, wood ears (Auricularia spp. ), Jelly fungi (Tremella spp .)and truffles"
0712.3100,Mushrooms of the genus Agaricus
0712.3200,Wood ears (Aurcularia spp .)
0712.3300,Jelly fungi (Tremella spp. )
0712.3400,Shiitake (Lentinus edodes )
0712.3900,Other
0712.9000,Other vegetables; mixtures of vegetables
0713.1000,Peas (Pisum sativum ) - Chickpeas (garbanzos)
0713.2010,Grams (dry whole)
0713.2020,Grams split
0713.2090,"Other - Beans (Vigna spp., Phaseolus spp. )"
0713.3100,Beans of the species Vigna mungo (L.)Hepper or Vigna radiata (L.)Wilczek
0713.3200,Small red (Adzuki) beans (Phaseolus or vigna angularis )
0713.3300,"Kidney beans, including white pea beans (Phaseolus vulgaris )"
0713.3400,Bambara beans (Vigna subterranea or Voandzeia subterranea)
0713.3500,Cow peas (Vigna unguiculata) - - Other
